Time	resetn	IF_pc	IF_inst	ID_pc	EXE_pc	MEM_pc	WB_pc	cpu_5_valid	HI_data	LO_data	rf_data	mem_data
              695000	1	000000b0	002f8006	000000ac	000000a8	000000a8	000000a4	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              705000	1	000000b0	1a000007	000000ac	000000ac	000000a8	000000a8	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              715000	1	000000b4	1a000007	000000b0	000000ac	000000ac	000000a8	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              725000	1	000000b4	002f8007	000000b0	000000ac	000000ac	000000ac	000ff00f	xxxxxxxx	xxxxxxxx	00000000	00000000
              735000	1	000000b8	002f8007	000000b4	000000b0	000000ac	000000ac	000fff00	xxxxxxxx	xxxxxxxx	00000000	00000000
              745000	1	000000b8	06000006	000000b4	000000b4	000000b0	000000ac	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              755000	1	000000bc	06000006	000000b8	000000b4	000000b4	000000b0	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
              765000	1	000000bc	001a5900	000000b8	000000b4	000000b4	000000b4	000ff00f	xxxxxxxx	xxxxxxxx	00000000	00000000
              775000	1	000000d4	001a5900	000000bc	000000b8	000000b4	000000b4	000fff00	xxxxxxxx	xxxxxxxx	00000000	00000000
              785000	1	000000d4	2df8ffff	000000bc	000000bc	000000b8	000000b4	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              795000	1	000000d8	2df8ffff	000000d4	000000bc	000000bc	000000b8	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
              805000	1	000000d8	0185e825	000000d4	000000d4	000000bc	000000bc	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              815000	1	000000dc	0185e825	000000d8	000000d4	000000d4	000000bc	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              825000	1	000000dc	01600008	000000d8	000000d8	000000d4	000000d4	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              835000	1	000000e0	01600008	000000dc	000000d8	000000d8	000000d4	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              845000	1	000000e0	31f4ffff	000000dc	000000d8	000000d8	000000d8	000ff00f	xxxxxxxx	xxxxxxxx	00000000	00000000
              855000	1	000000c0	31f4ffff	000000e0	000000dc	000000d8	000000d8	000fff00	xxxxxxxx	xxxxxxxx	00000000	00000000
              865000	1	000000c0	8d5c0003	000000e0	000000e0	000000dc	000000d8	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              875000	1	000000c4	8d5c0003	000000c0	000000e0	000000e0	000000dc	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
              885000	1	000000c4	179d0007	000000c0	000000c0	000000e0	000000e0	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
