time_ps,resetn,IF_pc,ID_pc,EXE_pc,MEM_pc,WB_pc,IF_inst,inst_paddr,tlb_s0_found,tlb_s0_pfn,cpu_5_valid,HI_data,LO_data,rf_data,mem_data,dm_addr,dm_paddr,tlb_s1_found,tlb_s1_pfn,dm_wen,dm_wdata
525000,1,00000040,0000003c,0000003c,00000034,00000030,fc000000,00000040,0,00000,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
535000,1,00000044,00000040,0000003c,0000003c,00000030,fc000000,00000044,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000007,00000007,0,00000,0,xx000000
545000,1,00000044,00000040,00000040,0000003c,0000003c,0000000c,00000044,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000007,00000007,0,00000,0,xx000000
555000,1,00000000,00000044,00000040,00000040,0000003c,0000000c,00000000,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
565000,1,00000000,00000044,00000040,00000040,0000003c,ac010000,00000000,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
575000,1,00000004,00000000,00000040,00000040,0000003c,ac010000,00000004,0,00000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
585000,1,00000004,00000000,00000000,00000040,0000003c,ac020004,00000004,0,00000,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
595000,1,00000008,00000004,00000000,00000000,0000003c,ac020004,00000008,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,f,0000003c
605000,1,00000008,00000004,00000004,00000000,00000000,ac030008,00000008,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,0000003c
615000,1,0000000c,00000008,00000004,00000004,00000000,ac030008,0000000c,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000004,00000004,0,00000,f,xxxxxxxx
625000,1,0000000c,00000008,00000008,00000004,00000004,ac04000c,0000000c,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000004,00000004,0,00000,0,xxxxxxxx
635000,1,00000010,0000000c,00000008,00000008,00000004,ac04000c,00000010,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000008,00000008,0,00000,f,xxxxxxxx
645000,1,00000010,0000000c,0000000c,00000008,00000008,ac050010,00000010,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000008,00000008,0,00000,0,xxxxxxxx
655000,1,00000014,00000010,0000000c,0000000c,00000008,ac050010,00000014,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,0000000c,0000000c,0,00000,f,xxxxxxxx
665000,1,00000014,00000010,00000010,0000000c,0000000c,ac060018,00000014,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,0000000c,0000000c,0,00000,0,xxxxxxxx
675000,1,00000018,00000014,00000010,00000010,0000000c,ac060018,00000018,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000010,00000010,0,00000,f,xxxxxxxx
685000,1,00000018,00000014,00000014,00000010,00000010,ac070070,00000018,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000010,00000010,0,00000,0,xxxxxxxx
695000,1,0000001c,00000018,00000014,00000014,00000010,ac070070,0000001c,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000018,00000018,0,00000,f,xxxxxxxx
705000,1,0000001c,00000018,00000018,00000014,00000014,ac190074,0000001c,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000018,00000018,0,00000,0,xxxxxxxx
715000,1,00000020,0000001c,00000018,00000018,00000014,ac190074,00000020,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000070,00000070,0,00000,f,xxxxxxxx
725000,1,00000020,0000001c,0000001c,00000018,00000018,ac0d0078,00000020,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000070,00000070,0,00000,0,xxxxxxxx
735000,1,00000024,00000020,0000001c,0000001c,00000018,ac0d0078,00000024,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000074,00000074,0,00000,f,xxxxxxxx
745000,1,00000024,00000020,00000020,0000001c,0000001c,40017000,00000024,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000074,00000074,0,00000,0,xxxxxxxx
755000,1,00000028,00000024,00000020,00000020,0000001c,40017000,00000028,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000078,00000078,0,00000,f,xxxxxxxx
765000,1,00000028,00000024,00000024,00000020,00000020,24210004,00000028,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000078,00000078,0,00000,0,xxxxxxxx
775000,1,0000002c,00000028,00000024,00000024,00000020,24210004,0000002c,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,0000003c
785000,1,0000002c,00000028,00000024,00000024,00000024,40817000,0000002c,0,00000,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,0000003c
795000,1,00000030,0000002c,00000028,00000024,00000024,40817000,00000030,0,00000,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,0000003c
805000,1,00000030,0000002c,0000002c,00000028,00000024,42000018,00000030,0,00000,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000040,00000040,0,00000,0,0000003c
815000,1,00000034,00000030,0000002c,0000002c,00000028,42000018,00000034,0,00000,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000,00000040,00000040,0,00000,0,00000040
825000,1,00000034,00000030,00000030,0000002c,0000002c,24080005,00000034,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000040,00000040,0,00000,0,00000040
835000,1,00000038,00000034,00000030,00000030,0000002c,24080005,00000038,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
845000,1,00000038,00000034,00000034,00000030,00000030,8d090001,00000038,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
855000,1,00000040,00000038,00000034,00000034,00000030,8d090001,00000040,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
865000,1,00000040,00000038,00000034,00000034,00000030,fc000000,00000040,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
875000,1,00000044,00000040,00000034,00000034,00000030,fc000000,00000044,0,00000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
885000,1,00000044,00000040,00000040,00000034,00000030,0000000c,00000044,0,00000,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000,00000005,00000005,0,00000,0,00000500
895000,1,00000048,00000044,00000040,00000040,00000030,0000000c,00000048,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
905000,1,00000048,00000044,00000044,00000040,00000040,24010001,00000048,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
915000,1,00000000,00000048,00000044,00000044,00000040,24010001,00000000,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
925000,1,00000000,00000048,00000044,00000044,00000040,ac010000,00000000,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
935000,1,00000004,00000000,00000044,00000044,00000040,ac010000,00000004,0,00000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
945000,1,00000004,00000000,00000000,00000044,00000040,ac020004,00000004,0,00000,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
955000,1,00000008,00000004,00000000,00000000,00000040,ac020004,00000008,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,f,00000040
965000,1,00000008,00000004,00000004,00000000,00000000,ac030008,00000008,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000040
975000,1,0000000c,00000008,00000004,00000004,00000000,ac030008,0000000c,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000004,00000004,0,00000,f,xxxxxxxx
985000,1,0000000c,00000008,00000008,00000004,00000004,ac04000c,0000000c,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000004,00000004,0,00000,0,xxxxxxxx
995000,1,00000010,0000000c,00000008,00000008,00000004,ac04000c,00000010,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000008,00000008,0,00000,f,xxxxxxxx
1005000,1,00000010,0000000c,0000000c,00000008,00000008,ac050010,00000010,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000008,00000008,0,00000,0,xxxxxxxx
1015000,1,00000014,00000010,0000000c,0000000c,00000008,ac050010,00000014,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,0000000c,0000000c,0,00000,f,xxxxxxxx
1025000,1,00000014,00000010,00000010,0000000c,0000000c,ac060018,00000014,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,0000000c,0000000c,0,00000,0,xxxxxxxx
1035000,1,00000018,00000014,00000010,00000010,0000000c,ac060018,00000018,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000010,00000010,0,00000,f,xxxxxxxx
1045000,1,00000018,00000014,00000014,00000010,00000010,ac070070,00000018,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000010,00000010,0,00000,0,xxxxxxxx
1055000,1,0000001c,00000018,00000014,00000014,00000010,ac070070,0000001c,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000018,00000018,0,00000,f,xxxxxxxx
1065000,1,0000001c,00000018,00000018,00000014,00000014,ac190074,0000001c,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000018,00000018,0,00000,0,xxxxxxxx
1075000,1,00000020,0000001c,00000018,00000018,00000014,ac190074,00000020,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000070,00000070,0,00000,f,xxxxxxxx
1085000,1,00000020,0000001c,0000001c,00000018,00000018,ac0d0078,00000020,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000070,00000070,0,00000,0,xxxxxxxx
1095000,1,00000024,00000020,0000001c,0000001c,00000018,ac0d0078,00000024,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000074,00000074,0,00000,f,xxxxxxxx
1105000,1,00000024,00000020,00000020,0000001c,0000001c,40017000,00000024,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000074,00000074,0,00000,0,xxxxxxxx
1115000,1,00000028,00000024,00000020,00000020,0000001c,40017000,00000028,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000078,00000078,0,00000,f,xxxxxxxx
1125000,1,00000028,00000024,00000024,00000020,00000020,24210004,00000028,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000078,00000078,0,00000,0,xxxxxxxx
1135000,1,0000002c,00000028,00000024,00000024,00000020,24210004,0000002c,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000040
1145000,1,0000002c,00000028,00000024,00000024,00000024,40817000,0000002c,0,00000,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000040
1155000,1,00000030,0000002c,00000028,00000024,00000024,40817000,00000030,0,00000,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000040
1165000,1,00000030,0000002c,0000002c,00000028,00000024,42000018,00000030,0,00000,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000044,00000044,0,00000,0,00000040
1175000,1,00000034,00000030,0000002c,0000002c,00000028,42000018,00000034,0,00000,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000,00000044,00000044,0,00000,0,00000044
1185000,1,00000034,00000030,00000030,0000002c,0000002c,24080005,00000034,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000044,00000044,0,00000,0,00000044
1195000,1,00000038,00000034,00000030,00000030,0000002c,24080005,00000038,0,00000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
1205000,1,00000038,00000034,00000034,00000030,00000030,8d090001,00000038,0,00000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000,00000000,00000000,0,00000,0,00000000
