time_ps,cycle,resetn,IF_pc,ID_pc,EXE_pc,MEM_pc,WB_pc,IF_inst,cpu_5_valid,HI_data,LO_data,rf_data,mem_data
695000,60,1,0000001c,00000018,00000014,00000014,00000010,ac070070,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
705000,61,1,0000001c,00000018,00000018,00000014,00000014,ac190074,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
715000,62,1,00000020,0000001c,00000018,00000018,00000014,ac190074,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
725000,63,1,00000020,0000001c,0000001c,00000018,00000018,ac0d0078,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
735000,64,1,00000024,00000020,0000001c,0000001c,00000018,ac0d0078,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
745000,65,1,00000024,00000020,00000020,0000001c,0000001c,40017000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
755000,66,1,00000028,00000024,00000020,00000020,0000001c,40017000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
765000,67,1,00000028,00000024,00000024,00000020,00000020,24210004,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
775000,68,1,0000002c,00000028,00000024,00000024,00000020,24210004,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
785000,69,1,0000002c,00000028,00000024,00000024,00000024,40817000,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000
795000,70,1,00000030,0000002c,00000028,00000024,00000024,40817000,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000
805000,71,1,00000030,0000002c,0000002c,00000028,00000024,42000018,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000
815000,72,1,00000034,00000030,0000002c,0000002c,00000028,42000018,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000
825000,73,1,00000034,00000030,00000030,0000002c,0000002c,24080005,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
835000,74,1,00000038,00000034,00000030,00000030,0000002c,24080005,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
845000,75,1,00000038,00000034,00000034,00000030,00000030,8d090001,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
855000,76,1,00000040,00000038,00000034,00000034,00000030,8d090001,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
865000,77,1,00000040,00000038,00000034,00000034,00000030,fc000000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
875000,78,1,00000044,00000040,00000034,00000034,00000030,fc000000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000
885000,79,1,00000044,00000040,00000040,00000034,00000030,0000000c,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000
895000,80,1,00000048,00000044,00000040,00000040,00000030,0000000c,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
905000,81,1,00000048,00000044,00000044,00000040,00000040,24010001,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
915000,82,1,00000000,00000048,00000044,00000044,00000040,24010001,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
925000,83,1,00000000,00000048,00000044,00000044,00000040,ac010000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
935000,84,1,00000004,00000000,00000044,00000044,00000040,ac010000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000
945000,85,1,00000004,00000000,00000000,00000044,00000040,ac020004,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000
955000,86,1,00000008,00000004,00000000,00000000,00000040,ac020004,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
965000,87,1,00000008,00000004,00000004,00000000,00000000,ac030008,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
975000,88,1,0000000c,00000008,00000004,00000004,00000000,ac030008,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
985000,89,1,0000000c,00000008,00000008,00000004,00000004,ac04000c,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
995000,90,1,00000010,0000000c,00000008,00000008,00000004,ac04000c,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1005000,91,1,00000010,0000000c,0000000c,00000008,00000008,ac050010,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1015000,92,1,00000014,00000010,0000000c,0000000c,00000008,ac050010,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1025000,93,1,00000014,00000010,00000010,0000000c,0000000c,ac060018,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1035000,94,1,00000018,00000014,00000010,00000010,0000000c,ac060018,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1045000,95,1,00000018,00000014,00000014,00000010,00000010,ac070070,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1055000,96,1,0000001c,00000018,00000014,00000014,00000010,ac070070,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1065000,97,1,0000001c,00000018,00000018,00000014,00000014,ac190074,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1075000,98,1,00000020,0000001c,00000018,00000018,00000014,ac190074,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1085000,99,1,00000020,0000001c,0000001c,00000018,00000018,ac0d0078,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1095000,100,1,00000024,00000020,0000001c,0000001c,00000018,ac0d0078,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1105000,101,1,00000024,00000020,00000020,0000001c,0000001c,40017000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1115000,102,1,00000028,00000024,00000020,00000020,0000001c,40017000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1125000,103,1,00000028,00000024,00000024,00000020,00000020,24210004,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1135000,104,1,0000002c,00000028,00000024,00000024,00000020,24210004,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1145000,105,1,0000002c,00000028,00000024,00000024,00000024,40817000,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000
1155000,106,1,00000030,0000002c,00000028,00000024,00000024,40817000,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000
1165000,107,1,00000030,0000002c,0000002c,00000028,00000024,42000018,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000
1175000,108,1,00000034,00000030,0000002c,0000002c,00000028,42000018,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000
1185000,109,1,00000034,00000030,00000030,0000002c,0000002c,24080005,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1195000,110,1,00000038,00000034,00000030,00000030,0000002c,24080005,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1205000,111,1,00000038,00000034,00000034,00000030,00000030,8d090001,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1215000,112,1,00000044,00000038,00000034,00000034,00000030,8d090001,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
1225000,113,1,00000044,00000038,00000034,00000034,00000030,0000000c,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
1235000,114,1,00000048,00000044,00000034,00000034,00000030,0000000c,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000
1245000,115,1,00000048,00000044,00000044,00000034,00000030,24010001,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000
1255000,116,1,0000004c,00000048,00000044,00000044,00000030,24010001,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1265000,117,1,0000004c,00000048,00000048,00000044,00000044,00011100,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1275000,118,1,00000000,0000004c,00000048,00000048,00000044,00011100,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
1285000,119,1,00000000,0000004c,00000048,00000048,00000044,ac010000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
1295000,120,1,00000004,00000000,00000048,00000048,00000044,ac010000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000
1305000,121,1,00000004,00000000,00000000,00000048,00000044,ac020004,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000
1315000,122,1,00000008,00000004,00000000,00000000,00000044,ac020004,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1325000,123,1,00000008,00000004,00000004,00000000,00000000,ac030008,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1335000,124,1,0000000c,00000008,00000004,00000004,00000000,ac030008,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1345000,125,1,0000000c,00000008,00000008,00000004,00000004,ac04000c,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1355000,126,1,00000010,0000000c,00000008,00000008,00000004,ac04000c,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1365000,127,1,00000010,0000000c,0000000c,00000008,00000008,ac050010,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1375000,128,1,00000014,00000010,0000000c,0000000c,00000008,ac050010,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1385000,129,1,00000014,00000010,00000010,0000000c,0000000c,ac060018,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1395000,130,1,00000018,00000014,00000010,00000010,0000000c,ac060018,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1405000,131,1,00000018,00000014,00000014,00000010,00000010,ac070070,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1415000,132,1,0000001c,00000018,00000014,00000014,00000010,ac070070,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1425000,133,1,0000001c,00000018,00000018,00000014,00000014,ac190074,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1435000,134,1,00000020,0000001c,00000018,00000018,00000014,ac190074,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1445000,135,1,00000020,0000001c,0000001c,00000018,00000018,ac0d0078,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1455000,136,1,00000024,00000020,0000001c,0000001c,00000018,ac0d0078,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1465000,137,1,00000024,00000020,00000020,0000001c,0000001c,40017000,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1475000,138,1,00000028,00000024,00000020,00000020,0000001c,40017000,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1485000,139,1,00000028,00000024,00000024,00000020,00000020,24210004,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1495000,140,1,0000002c,00000028,00000024,00000024,00000020,24210004,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1505000,141,1,0000002c,00000028,00000024,00000024,00000024,40817000,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000
1515000,142,1,00000030,0000002c,00000028,00000024,00000024,40817000,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000
1525000,143,1,00000030,0000002c,0000002c,00000028,00000024,42000018,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000
1535000,144,1,00000034,00000030,0000002c,0000002c,00000028,42000018,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000
1545000,145,1,00000034,00000030,00000030,0000002c,0000002c,24080005,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1555000,146,1,00000038,00000034,00000030,00000030,0000002c,24080005,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1565000,147,1,00000038,00000034,00000034,00000030,00000030,8d090001,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1575000,148,1,00000048,00000038,00000034,00000034,00000030,8d090001,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
1585000,149,1,00000048,00000038,00000034,00000034,00000030,24010001,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
1595000,150,1,0000004c,00000048,00000034,00000034,00000030,24010001,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000
1605000,151,1,0000004c,00000048,00000048,00000034,00000030,00011100,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000
1615000,152,1,00000050,0000004c,00000048,00000048,00000030,00011100,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1625000,153,1,00000050,0000004c,0000004c,00000048,00000048,00411821,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1635000,154,1,00000054,00000050,0000004c,0000004c,00000048,00411821,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1645000,155,1,00000054,00000050,00000050,0000004c,0000004c,00022082,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1655000,156,1,00000058,00000054,00000050,00000050,0000004c,00022082,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1665000,157,1,00000058,00000054,00000054,00000050,00000050,28990005,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1675000,158,1,0000005c,00000058,00000054,00000054,00000050,28990005,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1685000,159,1,0000005c,00000058,00000058,00000054,00000054,0721000e,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1695000,160,1,00000060,0000005c,00000058,00000058,00000054,0721000e,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1705000,161,1,00000060,0000005c,00000058,00000058,00000058,00642823,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000
1715000,162,1,00000098,00000060,0000005c,00000058,00000058,00642823,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000
1725000,163,1,00000098,00000060,00000060,0000005c,00000058,3c0c000c,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000
1735000,164,1,0000009c,00000098,00000060,00000060,0000005c,3c0c000c,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000
1745000,165,1,0000009c,00000098,00000098,00000060,00000060,004cd007,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1755000,166,1,000000a0,0000009c,00000098,00000098,00000060,004cd007,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1765000,167,1,000000a0,0000009c,0000009c,00000098,00000098,275b0044,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1775000,168,1,000000a4,000000a0,0000009c,0000009c,00000098,275b0044,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1785000,169,1,000000a4,000000a0,000000a0,0000009c,0000009c,0360f809,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1795000,170,1,000000a8,000000a4,000000a0,000000a0,0000009c,0360f809,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1805000,171,1,000000a8,000000a4,000000a0,000000a0,000000a0,24010008,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000
1815000,172,1,00000050,000000a8,000000a4,000000a0,000000a0,24010008,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000
1825000,173,1,00000050,000000a8,000000a8,000000a4,000000a0,00411821,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000
1835000,174,1,00000054,00000050,000000a8,000000a8,000000a4,00411821,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000
1845000,175,1,00000054,00000050,00000050,000000a8,000000a8,00022082,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1855000,176,1,00000058,00000054,00000050,00000050,000000a8,00022082,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1865000,177,1,00000058,00000054,00000054,00000050,00000050,28990005,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1875000,178,1,0000005c,00000058,00000054,00000054,00000050,28990005,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1885000,179,1,0000005c,00000058,00000058,00000054,00000054,0721000e,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1895000,180,1,00000060,0000005c,00000058,00000058,00000054,0721000e,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1905000,181,1,00000060,0000005c,00000058,00000058,00000058,00642823,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000
1915000,182,1,00000098,00000060,0000005c,00000058,00000058,00642823,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000
1925000,183,1,00000098,00000060,00000060,0000005c,00000058,3c0c000c,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000
1935000,184,1,0000009c,00000098,00000060,00000060,0000005c,3c0c000c,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000
1945000,185,1,0000009c,00000098,00000098,00000060,00000060,004cd007,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1955000,186,1,000000a0,0000009c,00000098,00000098,00000060,004cd007,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1965000,187,1,000000a0,0000009c,0000009c,00000098,00000098,275b0044,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1975000,188,1,000000a4,000000a0,0000009c,0000009c,00000098,275b0044,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
1985000,189,1,000000a4,000000a0,000000a0,0000009c,0000009c,0360f809,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
1995000,190,1,000000a8,000000a4,000000a0,000000a0,0000009c,0360f809,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
2005000,191,1,000000a8,000000a4,000000a0,000000a0,000000a0,24010008,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000
2015000,192,1,00000050,000000a8,000000a4,000000a0,000000a0,24010008,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000
2025000,193,1,00000050,000000a8,000000a8,000000a4,000000a0,00411821,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000
2035000,194,1,00000054,00000050,000000a8,000000a8,000000a4,00411821,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000
2045000,195,1,00000054,00000050,00000050,000000a8,000000a8,00022082,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
2055000,196,1,00000058,00000054,00000050,00000050,000000a8,00022082,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
2065000,197,1,00000058,00000054,00000054,00000050,00000050,28990005,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
2075000,198,1,0000005c,00000058,00000054,00000054,00000050,28990005,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
2085000,199,1,0000005c,00000058,00000058,00000054,00000054,0721000e,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
2095000,200,1,00000060,0000005c,00000058,00000058,00000054,0721000e,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
2105000,201,1,00000060,0000005c,00000058,00000058,00000058,00642823,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000
2115000,202,1,00000098,00000060,0000005c,00000058,00000058,00642823,000fff00,xxxxxxxx,xxxxxxxx,00000000,00000000
2125000,203,1,00000098,00000060,00000060,0000005c,00000058,3c0c000c,000f0ff0,xxxxxxxx,xxxxxxxx,00000000,00000000
2135000,204,1,0000009c,00000098,00000060,00000060,0000005c,3c0c000c,000ff0ff,xxxxxxxx,xxxxxxxx,00000000,00000000
